#separator:tab
#html:false
#notetype:Basic
#deck:English::Grammar Patterns
#tags column:3
Uma solução simples → a ____	simple solution	1A::11-adjectives-and-adverbs
Eu sempre verifico os logs. → I ____ the logs.	always check	1A::11-adjectives-and-adverbs
Ele fala bem inglês. → He speaks English ____.	well	1A::11-adjectives-and-adverbs
Ele trabalha muito. → He works ____.	hard	1A::11-adjectives-and-adverbs
Ele quase não trabalha. → He ____ works.	hardly	1A::11-adjectives-and-adverbs
Estou entediado. → I'm ____.	bored	1A::11-adjectives-and-adverbs
A reunião é chata. → The meeting is ____.	boring	1A::11-adjectives-and-adverbs
Estou interessado na vaga. → I'm ____ in the role.	interested	1A::11-adjectives-and-adverbs
Ela explicou a arquitetura claramente. → She explained ____	the architecture clearly	1A::11-adjectives-and-adverbs
melhor → ____	better	1A::12-comparatives-superlatives
pior → ____ / o pior → ____	worse / the worst	1A::12-comparatives-superlatives
mais fácil → ____	easier (não "more easy")	1A::12-comparatives-superlatives
mais rápido que → faster ____	than	1A::12-comparatives-superlatives
tão rápido quanto → ____ fast ____	as ... as	1A::12-comparatives-superlatives
o mesmo que → the same ____	as	1A::12-comparatives-superlatives
duas vezes mais rápido que → ____	twice as fast as	1A::12-comparatives-superlatives
muito mais rápido → ____ faster	much/far (nunca "very")	1A::12-comparatives-superlatives
Quanto mais testes, mais seguro → ____ tests, ____ safer	The more / the	1A::12-comparatives-superlatives
